epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.523,2.09443,3.18633,1.76758,0.77021,0.09049,0.07308,0.02671,2.32951,3.42349,1.91911,0.00047434,0.00047434,0.00047434
2,363.296,2.09991,2.68951,1.77255,0.55464,0.11868,0.10121,0.03933,2.19981,2.95627,1.77654,0.000919301,0.000919301,0.000919301
3,538.613,2.10176,2.47332,1.72681,0.80192,0.1078,0.09787,0.03579,2.21784,3.09878,1.78912,0.00133282,0.00133282,0.00133282
4,732.677,2.08067,2.35445,1.72574,0.8151,0.10896,0.11306,0.04354,2.19051,2.41234,1.8856,0.00128753,0.00128753,0.00128753
5,935.199,2.01946,2.216,1.69065,0.83282,0.12627,0.1327,0.0558,2.16252,2.27538,1.8221,0.00124037,0.00124037,0.00124037
6,1136.53,1.99373,2.12143,1.6534,0.83025,0.14635,0.16095,0.0666,2.05698,2.16073,1.66839,0.00119322,0.00119322,0.00119322
7,1366.6,1.96005,2.09384,1.64568,0.83336,0.14451,0.15608,0.06672,2.06707,2.1162,1.69887,0.00114606,0.00114606,0.00114606
8,1583.27,1.91505,2.02207,1.61728,0.54746,0.194,0.18161,0.08073,1.98664,1.90833,1.63225,0.0010989,0.0010989,0.0010989
9,1786.35,1.90709,1.9728,1.5824,0.58476,0.16379,0.19749,0.08568,1.98828,1.91133,1.61002,0.00105174,0.00105174,0.00105174
10,1981.77,1.91056,1.95157,1.58379,0.87158,0.15143,0.20265,0.09081,1.92187,1.83261,1.58593,0.00100459,0.00100459,0.00100459
11,2160.09,1.86454,1.89073,1.56204,0.52647,0.16599,0.20019,0.08969,1.90527,1.83887,1.5906,0.00095743,0.00095743,0.00095743
12,2344.47,1.84642,1.86427,1.5461,0.2851,0.23007,0.21587,0.09555,1.89547,1.82607,1.57436,0.000910273,0.000910273,0.000910273
13,2585.1,1.83471,1.82157,1.5256,0.19847,0.2584,0.20452,0.09019,1.913,1.84151,1.58715,0.000863116,0.000863116,0.000863116
14,2769,1.81129,1.81848,1.52672,0.86491,0.16043,0.20613,0.08629,1.90243,1.83043,1.54707,0.000815959,0.000815959,0.000815959
15,2950.44,1.79939,1.75318,1.52332,0.59476,0.17093,0.2336,0.1058,1.85516,1.73113,1.51915,0.000768802,0.000768802,0.000768802
16,3133.26,1.78199,1.70863,1.48458,0.28177,0.24982,0.226,0.10074,1.90088,1.70568,1.54899,0.000721645,0.000721645,0.000721645
17,3310.88,1.75987,1.69519,1.47504,0.24043,0.28618,0.24127,0.1104,1.8411,1.6372,1.52777,0.000674488,0.000674488,0.000674488
18,3501.57,1.72903,1.66561,1.47597,0.25896,0.29705,0.24559,0.11152,1.84914,1.6302,1.5209,0.000627331,0.000627331,0.000627331
19,3674,1.72403,1.67134,1.46969,0.29983,0.30384,0.2583,0.11893,1.81642,1.60169,1.4997,0.000580174,0.000580174,0.000580174
20,3851.15,1.69693,1.62512,1.44833,0.27244,0.31565,0.26401,0.12251,1.80038,1.58711,1.49395,0.000533017,0.000533017,0.000533017
21,4033.39,1.74396,1.62593,1.46212,0.24484,0.29085,0.24661,0.11472,1.82563,1.61162,1.4899,0.00048586,0.00048586,0.00048586
22,4249.58,1.70079,1.55504,1.44452,0.29426,0.32555,0.27811,0.12773,1.80179,1.56309,1.48235,0.000438703,0.000438703,0.000438703
23,4453.24,1.68981,1.53272,1.42381,0.27318,0.31493,0.26976,0.12625,1.78084,1.53695,1.45449,0.000391546,0.000391546,0.000391546
24,4632.62,1.66391,1.50901,1.42221,0.30734,0.33342,0.28066,0.13078,1.77665,1.51369,1.47684,0.000344389,0.000344389,0.000344389
25,4806.42,1.66033,1.47575,1.41134,0.31774,0.34593,0.29285,0.13534,1.75881,1.50583,1.45681,0.000297232,0.000297232,0.000297232
26,4987.03,1.65512,1.43521,1.3949,0.35812,0.36285,0.30097,0.14104,1.72843,1.47255,1.42658,0.000250075,0.000250075,0.000250075
27,5162.33,1.61584,1.41473,1.36798,0.31559,0.34595,0.28986,0.13724,1.72714,1.48725,1.42774,0.000202918,0.000202918,0.000202918
28,5342,1.60579,1.39561,1.35256,0.31718,0.36156,0.29197,0.14061,1.72666,1.44985,1.42415,0.000155761,0.000155761,0.000155761
29,5533.8,1.59586,1.37165,1.36056,0.35653,0.35339,0.30532,0.14489,1.7284,1.42937,1.42425,0.000108604,0.000108604,0.000108604
30,5726.57,1.56721,1.34063,1.34098,0.36157,0.33998,0.30077,0.14399,1.73144,1.42526,1.42784,6.1447e-05,6.1447e-05,6.1447e-05
